DataType=double
version=3
OpenSimVersion=4.2
endheader
time,L.Acceleration_x,L.Acceleration_y,L.Acceleration_z,L.AngularRate_x,L.AngularRate_y,L.AngularRate_z,L.CoP_x,L.CoP_y,L.Pressure_1,L.Pressure_2,L.Pressure_3,L.Pressure_4,L.Pressure_5,L.Pressure_6,L.Pressure_7,L.Pressure_8,L.Pressure_9,L.Pressure_10,L.Pressure_11,L.Pressure_12,L.Pressure_13,L.Pressure_14,L.Pressure_15,L.Pressure_16,L.TotalForce,R.Acceleration_x,R.Acceleration_y,R.Acceleration_z,R.AngularRate_x,R.AngularRate_y,R.AngularRate_z,R.CoP_x,R.CoP_y,R.Pressure_1,R.Pressure_2,R.Pressure_3,R.Pressure_4,R.Pressure_5,R.Pressure_6,R.Pressure_7,R.Pressure_8,R.Pressure_9,R.Pressure_10,R.Pressure_11,R.Pressure_12,R.Pressure_13,R.Pressure_14,R.Pressure_15,R.Pressure_16,R.TotalForce
-4.890888929367065,-0.17,0.03,0.99,-0.49,3.08,-0.63,-0.002486,-0.0089,5.25,6.25,3.75,5,3.75,5.5,1.75,5.25,4.25,1.75,3.75,3.75,5.25,6,2.75,1.75,644,-0.03,-0.8,1.22,-123.27,42.98,168.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.863888740539551,-0.17,0.03,0.99,-0.49,3.08,-0.63,-0.002486,-0.0089,5.25,6.25,3.75,5,3.75,5.5,1.75,5.25,4.25,1.75,3.75,3.75,5.25,6,2.75,1.75,644,0.02,-0.62,1.1,-142.87,35,157.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.832888841629028,-0.17,0.03,0.99,-0.49,3.08,-0.63,-0.002486,-0.0089,5.25,6.25,3.75,5,3.75,5.5,1.75,5.25,4.25,1.75,3.75,3.75,5.25,6,2.75,1.75,644,0.02,-0.62,1.1,-142.87,35,157.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.800888776779175,-0.17,0.03,0.99,-0.49,3.08,-0.63,-0.002486,-0.0089,5.25,6.25,3.75,5,3.75,5.5,1.75,5.25,4.25,1.75,3.75,3.75,5.25,6,2.75,1.75,644,0.02,-0.62,1.1,-142.87,35,157.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.768888711929321,-0.18,0.02,1,-0.5600000000000001,2.38,-0.07000000000000001,-0.03729,-0.00712,13,13.25,5.25,7.25,2.75,5,1,4,2.5,0.25,1.25,2,3.5,5,1.5,1,658,0.35,0.77,0.77,-78.54000000000001,-32.48,247.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.740888833999634,-0.19,0.03,1.01,4.55,2.45,0.35,-0.044748,-0.00712,14.75,15,6.25,7,2.5,4.75,0.75,3.75,2,0.25,0.75,1.75,3,5,1.25,0.75,664,0.91,1.04,0.9,14,-36.89,282.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.705888748168945,-0.19,0.06,1.09,46.62,-4.48,4.13,-0.067122,-0.00623,16.25,15.75,5.5,7.25,1.75,3.25,0,2.25,0.25,0.5,0.25,0.75,1.25,2.25,0.5,0.25,547,-0.77,0.78,1.29,41.65,-155.68,191.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,43
-4.677888870239258,-0.24,0.04,1.47,82.81,-54.67,8.050000000000001,-0.077066,-0.00623,15.25,15,4.25,6.25,0.75,1.75,0,1.25,0,0,0.25,0.5,0.75,1,0,0,440,-0.49,0.99,1.24,27.86,-152.18,70.84,0.096954,0.01157,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,7.75,0,0,68
-4.651888847351074,-0.45,-0.04,1.8,-43.75,-131.39,-6.3,-0.08949599999999999,-0.00356,10.75,10,2,3.25,0.25,0.25,0,0.25,0,0,0,0.25,0,0,0,0,250,-0.14,0,1.02,-0.77,-18.76,0.91,0.082038,0.00801,0,0,0,0,0,0,0.25,0.25,2,0,1.75,1.25,0.75,12.25,0.5,0,166
-4.626888751983643,-0.83,-0.46,1.31,-119.7,-158.13,-55.09,-0.09198199999999999,-0.00356,7.25,6.75,1.5,1.75,0,0.25,0,0.25,0,0,0,0,0,0,0,0,164,-0.19,0.02,1,1.33,-8.119999999999999,4.69,0.077066,0.00445,0,0,0,0,0,0,0.25,0.5,2.5,0.5,2.75,1.75,1.25,12.5,0.5,0.25,202
