DataType=double
version=3
OpenSimVersion=4.2
endheader
time,px,py,pz
10.96417379379272,0,0.95,0
11.03902673721313,0,0.95,0
11.10318684577942,0,0.95,0
11.17802333831787,0,0.95,0
11.25287675857544,0,0.95,0
11.39189004898071,0,0.95,0
11.46674346923828,0,0.95,0
11.53090357780457,0,0.95,0
11.60575675964355,0,0.95,0
11.6806104183197,0,0.95,0
11.74477052688599,0,0.95,0
11.81962394714355,0,0.95,0
11.89447712898254,0,0.95,0
11.96933054924011,0,0.95,0
12.03347373008728,0,0.95,0
12.10832691192627,0,0.95,0
12.18318009376526,0,0.95,0
12.24734044075012,0,0.95,0
12.32219386100769,0,0.95,0
12.39704728126526,0,0.95,0
12.46120715141296,0,0.95,0
12.53606057167053,0,0.95,0
12.6109139919281,0,0.95,0
12.68576765060425,0,0.95,0
12.74992752075195,0,0.95,0
12.82478094100952,0,0.95,0
12.89961719512939,0,0.95,0
12.96377730369568,0,0.95,0
13.03863048553467,0,0.95,0
13.11348414421082,0,0.95,0
13.1776442527771,0,0.95,0
13.25249767303467,0,0.95,0
13.32735085487366,0,0.95,0
13.39151096343994,0,0.95,0
13.46636438369751,0,0.95,0
13.54121780395508,0,0.95,0
13.61607098579407,0,0.95,0
13.68023109436035,0,0.95,0
13.7550675868988,0,0.95,0
13.82992100715637,0,0.95,0
13.89408087730408,0,0.95,0
13.96893429756165,0,0.95,0
14.04378771781921,0,0.95,0
14.10794758796692,0,0.95,0
14.18280124664307,0,0.95,0
14.25765442848206,0,0.95,0
14.39666795730591,0,0.95,0
14.47152137756348,0,0.95,0
14.54637479782104,0,0.95,0
14.61051774024963,0,0.95,0
14.6853711605072,0,0.95,0
14.76022458076477,0,0.95,0
14.82438468933105,0,0.95,0
14.89923810958862,0,0.95,0
14.97409152984619,0,0.95,0
15.0382513999939,0,0.95,0
15.11310482025146,0,0.95,0
15.18795824050903,0,0.95,0
15.25211834907532,0,0.95,0
15.32697176933289,0,0.95,0
15.40182518959045,0,0.95,0
15.47666144371033,0,0.95,0
15.54082131385803,0,0.95,0
15.6156747341156,0,0.95,0
15.69052815437317,0,0.95,0
15.75468826293945,0,0.95,0
15.82954168319702,0,0.95,0
15.90439510345459,0,0.95,0
15.96855521202087,0,0.95,0
16.11826181411743,0,0.95,0
16.193115234375,0,0.95,0
16.25727534294128,0,0.95,0
16.33211183547974,0,0.95,0
16.4069652557373,0,0.95,0
16.47112488746643,0,0.95,0
16.54597854614258,0,0.95,0
16.62083196640015,0,0.95,0
16.68499183654785,0,0.95,0
16.75984525680542,0,0.95,0
16.83469867706299,0,0.95,0
16.89885854721069,0,0.95,0
16.97371196746826,0,0.95,0
17.04856538772583,0,0.95,0
17.12341904640198,0,0.95,0
17.18756175041199,0,0.95,0
17.26241517066956,0,0.95,0
17.33726859092712,0,0.95,0
17.40142869949341,0,0.95,0
17.47628211975098,0,0.95,0
17.55113530158997,0,0.95,0
17.61529564857483,0,0.95,0
17.76500225067139,0,0.95,0
17.82916212081909,0,0.95,0
17.90401577949524,0,0.95,0
18.05370545387268,0,0.95,0
18.11786532402039,0,0.95,0
18.19271874427795,0,0.95,0
18.26757216453552,0,0.95,0
18.33173203468323,0,0.95,0
18.4065854549408,0,0.95,0
18.48143887519836,0,0.95,0
18.54559922218323,0,0.95,0
18.62045240402222,0,0.95,0
18.69530558586121,0,0.95,0
18.77015924453735,0,0.95,0
18.83431935310364,0,0.95,0
18.90915560722351,0,0.95,0
18.9840087890625,0,0.95,0
19.04816889762878,0,0.95,0
19.12302231788635,0,0.95,0
19.1978759765625,0,0.95,0
19.26203584671021,0,0.95,0
19.33688926696777,0,0.95,0
19.41174244880676,0,0.95,0
19.47590255737305,0,0.95,0
19.55075597763062,0,0.95,0
19.62560939788818,0,0.95,0
19.70046281814575,0,0.95,0
19.76460552215576,0,0.95,0
19.83945918083191,0,0.95,0
19.9143123626709,0,0.95,0
19.97847247123718,0,0.95,0
20.05332589149475,0,0.95,0
20.12817931175232,0,0.95,0
20.1923394203186,0,0.95,0
20.26719284057617,0,0.95,0
20.34204602241516,0,0.95,0
20.40620613098145,0,0.95,0
20.48105955123901,0,0.95,0
20.55591320991516,0,0.95,0
20.69490909576416,0,0.95,0
20.76976275444031,0,0.95,0
20.8446159362793,0,0.95,0
20.908775806427,0,0.95,0
20.98362946510315,0,0.95,0
21.05848288536072,0,0.95,0
21.12264275550842,0,0.95,0
21.19749617576599,0,0.95,0
21.27234959602356,0,0.95,0
21.33650970458984,0,0.95,0
21.41136288642883,0,0.95,0
21.48619914054871,0,0.95,0
21.56105279922485,0,0.95,0
21.62521266937256,0,0.95,0
21.70006632804871,0,0.95,0
21.7749195098877,0,0.95,0
21.83907961845398,0,0.95,0
21.98878645896912,0,0.95,0
22.12779974937439,0,0.95,0
22.20265316963196,0,0.95,0
22.34164953231812,0,0.95,0
22.4165027141571,0,0.95,0
22.49135637283325,0,0.95,0
22.55551624298096,0,0.95,0
22.63036966323853,0,0.95,0
22.70522308349609,0,0.95,0
22.76938319206238,0,0.95,0
22.84423637390137,0,0.95,0
22.9832501411438,0,0.95,0
23.05810356140137,0,0.95,0
23.13295650482178,0,0.95,0
23.20779299736023,0,0.95,0
23.27195310592651,0,0.95,0
23.3468062877655,0,0.95,0
23.48581981658936,0,0.95,0
23.56067323684692,0,0.95,0
23.63552665710449,0,0.95,0
23.6996865272522,0,0.95,0
23.77453994750977,0,0.95,0
23.84939336776733,0,0.95,0
23.91355347633362,0,0.95,0
23.98840665817261,0,0.95,0
24.06324291229248,0,0.95,0
24.13809633255005,0,0.95,0
24.20225620269775,0,0.95,0
24.35196304321289,0,0.95,0
24.41612315177917,0,0.95,0
24.49097657203674,0,0.95,0
24.56582975387573,0,0.95,0
24.62998986244202,0,0.95,0
24.70484328269958,0,0.95,0
24.77969670295715,0,0.95,0
24.84385681152344,0,0.95,0
24.91869282722473,0,0.95,0
24.9935462474823,0,0.95,0
25.06839942932129,0,0.95,0
25.13255953788757,0,0.95,0
25.20741295814514,0,0.95,0
25.28226637840271,0,0.95,0
25.34642624855042,0,0.95,0
25.42127966880798,0,0.95,0
25.49613285064697,0,0.95,0
25.56029295921326,0,0.95,0
25.63514637947083,0,0.95,0
25.70999979972839,0,0.95,0
25.78483605384827,0,0.95,0
25.84899592399597,0,0.95,0
25.92384934425354,0,0.95,0
25.99870276451111,0,0.95,0
26.13771605491638,0,0.95,0
26.21256947517395,0,0.95,0
26.27672958374023,0,0.95,0
26.3515830039978,0,0.95,0
