DataType=double
version=3
OpenSimVersion=4.2
endheader
time,p_1,p_2,p_3,v_1,v_2,v_3,a_1,a_2,a_3
3.744111299514771,0,0,0,0,0,0,-0.006767784026961379,0.00369360600536383,-0.0002417673281585302
3.769111299514771,0,0,0,0,0,0,-0.004692238493265767,0.005198951264901963,0.0002333900625173945
3.794111299514771,0,0,0,0,0,0,-0.003436709835029501,-7.245074291700726e-05,0.0002136150974326742
3.819111299514771,0,0,0,0,0,0,0.0004025490906054592,0.01305472680535504,0.01027848967703264
3.844111299514771,0,0,0,0,0,0,-0.006387899391376141,0.001313212657760206,-0.00149917245154749
3.869111299514771,0,0,0,0,0,0,0.006084957440225015,0.0205738701988581,0.02585479327730873
3.89411129951477,0,0,0,0,0,0,-0.01414099811399499,-0.02720015976883705,0.0002183152990075932
3.91911129951477,0,0,0,0,0,0,-0.007033020421353517,-0.008407610162828906,0.002863545835262306
3.94411129951477,0,0,0,0,0,0,-0.0238578468334495,0.007637621822909665,-0.004673637376437022
3.96911129951477,0,0,0,0,0,0,-0.01641604897620375,0.01471247544893863,-0.01878039165941638
3.99411129951477,0,0,0,0,0,0,-0.007003877427828345,0.02881284611888434,-0.0007734967319786394
4.01911129951477,0,0,0,0,0,0,-0.01077787261627481,0.006363420141717558,0.00658912713524374
4.04411129951477,0,0,0,0,0,0,-0.002771074356140524,0.08056103930085662,0.008817878265015025
4.069111299514771,0,0,0,0,0,0,-0.003422942809372113,0.01730581293551842,0.004743734961686889
4.094111299514771,0,0,0,0,0,0,0.005842844459492203,-0.03736823918432959,0.007594318513831146
4.119111299514771,0,0,0,0,0,0,0.01366112047081477,-0.01165750446794389,0.01581091947237494
4.144111299514772,0,0,0,0,0,0,0.0092805337468824,-0.01300981227603756,0.01860258099611957
4.169111299514772,0,0,0,0,0,0,-0.005507773607449402,-0.0658921718891791,-0.004952494301572243
4.194111299514772,0,0,0,0,0,0,-0.002937863847585139,-0.07129531651389037,-0.04130776586074908
